nom,peau,age,description,application,categorie,categorie_name,prix,image,lien
Age Perfect Lingettes Démaquillantes,sèche,"50-60, 60+",Lingettes Démaquillantes Peaux Matures,Passer délicatement la lingette sur le visage et les yeux sans rincer.,1,"Eau micellaire, démaquillant, nettoyant, lotion",5.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw09ce3bb5/ProductImages/OAP6258/3600522783343/3600522783343_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/eau-micellaire-et-demaquillant/age-perfect-lingettes-demaquillantes/OAP6258.html#tab=conseils-d'application
Age Perfect Nuit,sèche,50-60,Soin Nuit Raffermissant pour les peaux matures,Appliquer le Soin Raffermissant Remaillant le soir par mouvements circulaires sur le visage et le cou bien nettoyés.,4,Soin de nuit,10.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw13c25ba8/ProductImages/OAP5042/3054080063841/3054080063841_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-de-nuit/age-perfect-nuit/OAP5042.html#tab=conseils-d'application
Age Perfect Nutrition Intense Jour,sèche,60+,Soin Riche Réparateur Jour,"Appliquer quotidiennement par mouvements circulaires, sur le visage et le cou bien nettoyés. Eviter le contour des yeux.",3,Crème de jour,15.49,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw405b0aca/ProductImages/OAP5260/3600521674406/3600521674406_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/age-perfect-nutrition-intense-jour/OAP5260.html#tab=conseils-d'application
Age Perfect Nutrition Intense Nuit,sèche,60+,Baume Riche Réparateur Nuit,"Appliquer le soir par mouvements circulaires, sur le visage et le cou bien nettoyés. Eviter le contour des yeux.",4,Soin de nuit,15.49,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw3e747e2d/ProductImages/OAP5261/3600521992272/3600521992272_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-de-nuit/age-perfect-nutrition-intense-nuit/OAP5261.html#tab=conseils-d'application
Age Perfect Renaissance Cellulaire Crème Contour des Yeux,sèche,"50-60, 60+",Crème contour des yeux,"Matin et soir, appliquez la crème en utilisant l’embout pour masser le contour de l’œil par mouvements circulaires de l’intérieur vers l’extérieur.",5,Soin des yeux,15.49,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwfed250d9/ProductImages/OAP6326/3600522743668/3600522743668_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-yeux/age-perfect-renaissance-cellulaire-creme-contour-des-yeux/OAP6326.html#tab=conseils-d'application
Age Perfect Renaissance Cellulaire Crème de Jour,sèche,"50-60, 60+",Crème de jour,Appliquez la crème par mouvements circulaires sur le visage et le cou parfaitement nettoyés en évitant le contour des yeux.,3,Crème de jour,15.49,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw11e0f533/ProductImages/OAP6015/3600522323617/3600522323617_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/age-perfect-renaissance-cellulaire-creme-de-jour/OAP6015.html#tab=conseils-d'application
Age Perfect Renaissance Cellulaire Crème de Nuit,sèche,"50-60, 60+",Soin Nuit Régénérant,"1ère étape – Midnight SérumCommencez votre routine par l’application du Midnight Sérum, notre sérum nouvelle génération pour une triple action anti-âge : rides, fermeté, éclat. Matin et soir, appliquez sur le visage et le cou 3-4 gouttes du sérum sur une peau nettoyée et sèche.2ème étape – Crème Contour des YeuxAppliquez ensuite la Crème Contour des Yeux Renaissance Cellulaire, pour un contour de l’œil éclatant et lissé et des cernes et poches réduits. Matin et soir, appliquez la crème en utilisant l’embout pour masser le contour de l’œil par mouvements circulaires de l’intérieur vers l’extérieur.3ème étape Jour – Crème de Jour RevitalisanteLematin, continuez par l’application de la Crème de Jour Renaissance Cellulaire pour une peau revitalisée et pleine de vie. Appliquez la crème par mouvements circulaires sur le visage et le cou parfaitement nettoyés en évitant le contour des yeux.3ème étape Nuit – Crème de Nuit RégénéranteLe soir, finissez votre routine par l’application de la Crème de Nuit Renaissance Cellulaire pour une peau régénérée, dense et confortable. Appliquez la crème tous les soirs par mouvements circulaires sur le visage et le cou parfaitement nettoyés.",4,Soin de nuit,15.49,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw28e2886e/ProductImages/OAP6016/3600522323624/3600522323624_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-de-nuit/age-perfect-renaissance-cellulaire-creme-de-nuit/OAP6016.html#tab=conseils-d'application
Age Perfect Renaissance Cellulaire​ Midnight Crème Yeux,"grasse, sèche, mixte, normale",30-40,Crème anti-âge réparatrice,"Appliquer quotidiennement matin et soir par mouvements circulaires, sur le visage et le cou parfaitement nettoyés.",5,Soin des yeux,17.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/fr_FR/dwc1b4e483/3600524119324/3600524119324_1.jpg?sw=166&sfrm=png&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-de-nuit/age-perfect-renaissance-cellulaire-midnight-creme-de-nuit/OAP7215.html?&wiz_medium=cpc&wiz_source=google&wiz_campaign=oap_goog_ao_skfc__bran_search_text_eg_fr_fran_roas&gad_source=1&gclid=Cj0KCQiAtaOtBhCwARIsAN_x-3KQ29Nbx7MNcPlIPVQXQtqyFAg3RhhHOXxcFumzdt8OMYVB1eibzZwaAh_PEALw_wcB&gclsrc=aw.ds#tab=conseils-d'application
Age Perfect Tonique Fraîcheur,sèche,"50-60, 60+",Tonique Frais Peaux Matures,Appliquer sur le visage le matin à l'aide d'un coton. Eviter le contact avec les yeux. Appliquer un soin après utilisation.Eviter le contact avec les yeux.,6,"Masque, nettoyant, autre",6.49,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwfa8f0fda/ProductImages/OAP3091/3054080074342/3054080074342_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/eau-micellaire-et-demaquillant/age-perfect-tonique-fraicheur/OAP3091.html#tab=conseils-d'application
Argile Pure Gel Nettoyant Détoxifiant,sèche,"20-30, 30-40 ",Masque Détoxifiant,"Matin ou soir, appliquer sur visage humide et massez délicatement par petits mouvements circulaires en insistant sur le front, le nez et le menton. Pour usage externe uniquement. Convient à tous types de peaux.Éviter le contour des yeux. En cas de contact avec les yeux, rincer immédiatement et abondamment.",1,"Eau micellaire, démaquillant, nettoyant, lotion",5.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw260b8ccb/ProductImages/OAP6672/3600523430994/3600523430994_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/masque-et-nettoyant/argile-pure-gel-nettoyant-detoxifiant/OAP6672.html#tab=conseils-d'application
Bright Reveal Fluide Anti-UV SPF50+ Anti-Taches Niacinamide,"grasse, sèche, mixte, normale",30-40,Fluide Anti-UV SPF50+ Anti-Taches​ Filtres UVB/UVA + Niacinamide + LHA + Vitamine E,Bien agiter avant application. Appliquer chaque matin comme un soin hydratant ou après votre routine de soin avant le maquillage. Application possible sur la paupière et le contour des yeux. Application possible sur la paupière et le contour des yeux. Complétez votre protocole anti-taches avec notre Sérum Anti-Taches Niacinamide Bright Reveal.,6,"Masque, nettoyant, autre",19.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw2a3e3703/ProductImages/OAP7402/3600524122638/3600524122638_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/bright-reveal-fluide-anti-uv-spf50--anti-taches-niacinamide/OAP7402.html#tab=conseils-d'application
Bright Reveal Nettoyant-Sérum ​ Anti-Imperfections Niacinamide,"grasse, sèche, mixte, normale",30-40,Nettoyant-Sérum Anti-Imperfections Niacinamide & Acide Salicylique,"Matin et soir, appliquez une petite quantité sur visage mouillé. Rincez avec de l'eau.",1,"Eau micellaire, démaquillant, nettoyant, lotion",7.19,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwcafa500a/ProductImages/OAP7405/3600524128951/3600524128951_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/eau-micellaire-et-demaquillant/bright-reveal-nettoyant-serum-%E2%80%8B--anti-imperfections-niacinamide/OAP7405.html#tab=conseils-d'application
Bright Reveal Peeling Exfoliant​ Anti-Taches 25% [AHA + BHA + PHA],"grasse, sèche, mixte, normale",30-40,Peeling Exfoliant Anti-Taches 25% [AHA + BHA + PHA] + Niacinamide,"1. Agitez de gauche à droite (et non de bas en haut).2. Retournez la bouteille et pressez l'embout transparent pour distribuer le produit sur votre main.3. Appliquez uniformément avec le bout des doigts sur l'ensemble du visage propre et sec en évitant le contour des yeux, les lèvres et les narines.4. Laissez poser 15 minutes.5. Enlevez l'excédent de formule à l'aide d'un coton. Rincez soigneusement avec de l'eau tiède.6. Poursuivez avec votre soin hydratant. Usage non quotidien.Utilisation recommandée du peeling : 4 soirs par semaine, 1 soir sur 2. Toujours appliquer un soin SPF 30+ minimum chaque matin.""",6,"Masque, nettoyant, autre",19.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw62a52d0c/ProductImages/OAP7401/3600524122874/3600524122874_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/gommage/bright-reveal-peeling-exfoliant%E2%80%8B--anti-taches-25---aha-bha-pha-/OAP7401.html#tab=conseils-d'application
Bright Reveal Sérum Anti-Taches Niacinamide,"grasse, sèche, mixte, normale",30-40,Sérum Anti-Taches Niacinamide & Acide Amino-Sulfonique,Appliquez le matin et le soir 3-4 gouttes sur le visage et le cou nettoyés. Poursuivez avec votre soin hydratant et une protection SPF 30 minimum le matin. Ce sérum peut être également appliqué sur le décolleté et les mains.,2,Sérum,19.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw72f6b22c/ProductImages/OAP7403/3600524119836/3600524119836_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/serum-et-ampoules-visage/bright-reveal-serum-anti-taches-niacinamide/OAP7403.html#tab=conseils-d'application
Démaquillant Doux Yeux & Lèvres Waterproof,sèche,"20-30, 30-40, 40-50 ",Démaquillant lèvres et yeux,Agiter avant emploi jusqu'à l'obtention d'une couleur homogène. Convient aux yeux sensibles et porteurs de lentilles.0.Non applicable,1,"Eau micellaire, démaquillant, nettoyant, lotion",4.49,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw3624ccb3/ProductImages/OAP3080/3054080063780/3054080063780_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/eau-micellaire-et-demaquillant/demaquillant-doux-yeux-levres-waterproof/OAP3080.html#tab=conseils-d'application
L'Oréal Paris Age Perfect Soin Anti-âge FPS 30,sèche,40-50,Soin Anti-âge FPS 30,Appliquer quotidiennement le Soin Raffermissant Remaillant FPS 30 par mouvements circulaires sur le visage et le cou parfaitement nettoyés en évitant le contour des yeux.,6,"Masque, nettoyant, autre",12.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwa51aace8/ProductImages/OAP7255/3600523997572/3600523997572_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/l-oreal-paris-age-perfect-soin-anti-age-fps-30/OAP7255.html#tab=conseils-d'application
Masque Detox Argile Pure,sèche,"20-30, 30-40, 40-50 ",Masque Détoxifiant,"2 à 3 fois par semaine, sur une peau démaquillée, appliquez une fine couche sur l’ensemble du visage. Laissez sécher 5 à 10 minutes jusqu’à ce que le masque prenne une couleur grise. Rincez à l’eau tiède ou avec une serviette humide.Evitez le contour des yeux et le contour des lèvres",6,"Masque, nettoyant, autre",8.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw60769fbb/ProductImages/OAP6532/3600523306336/3600523306336_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/masque-et-nettoyant/masque-detox-argile-pure/OAP6532.html#tab=conseils-d'application
Revitalift Clinical Sérum 12% Vitamine C Pure,"grasse, sèche, mixte, normale",20-30,"Sérum Anti-âge, Teint, Pores, Ridules","Après le nettoyage, appliquer 2-3 gouttes du sérum sur le visage et le cou en évitant le contour des yeux. Poursuivre avec une protection FPS 20 minimum le matin.",2,Sérum,19.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwfae958d4/ProductImages/OAP7229/3600524069827/3600524069827_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/serum-et-ampoules-visage/revitalift-clinical-serum-12--vitamine-c-pure/OAP7229.html#tab=conseils-d'application
Revitalift Clinical Vitamine C Fluide FPS 50+,"grasse, sèche, mixte, normale",30-40,"Fluide Anti-UV FPS 50+, Taches, Rides, Teint - Vitamine C + Vitamine E + Acide Hyaluronique","Bien agiter avant l’application. Appliquer chaque matin comme un soin hydratant ou après votre routine de soin, avant le maquillage. Application possible sur la paupière et le contour des yeux. Idéal pour une utilisation combinée avec l’un des sérums Revitalift : Vitamine C, Acide Hyaluronique ou Rétinol.",6,"Masque, nettoyant, autre",18.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwc7af096f/ProductImages/OAP7231/3600524069650/3600524069650_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/revitalift-clinical-vitamine-c-fluide-fps-50-/OAP7231.html#tab=conseils-d'application
Revitalift Filler [+ Acide Hyaluronique],"mixte, normale, grasse, sèche","40-50, 50-60 ",Sérum anti-rides à l'Acide Hyaluronique,"Matin et soir, appliquer 2 à 3 gouttes sur le visage et le cou préalablement nettoyés. Poursuivre avec l’application de votre soin quotidien.",2,Sérum,18.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw721a7409/ProductImages/OAP6301/3600522892489/3600522892489_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/serum-et-ampoules-visage/revitalift-filler-serum-anti-rides-1.5--acide-hyaluronique-pur/OAP7043.html#tab=conseils-d'application
Revitalift Filler [+ Acide Hyaluronique] Ampoules repulpantes Hyaluro-cure,sèche,"30-40, 40-50 ",Cure de 7 jours d'ampoules repulpantes,"Les ampoules repulpantes Hyaluro-cure de Revitalift Filler permettent de repulper la peau en 7 jours seulement. Composées d'acide hyaluronique pur et de vitamine B5, elles aident à lisser et réhydrater la peau sur 6 zones ciblées.Repulpe, lisse et réhydrate la peau, apaise et revitaliseDès la première ampoule : peau ",3,Crème de jour,18.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw2a3c7f4f/ProductImages/OAP6948/3600523732548/3600523732548_1m.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/revitalift-filler----acide-hyaluronique-/revitalift-filler----acide-hyaluronique--ampoules-repulpantes-hyaluro-cure/OAP6948.html
Revitalift Filler [+ Acide Hyaluronique] Jour,"mixte, normale, grasse, sèche","40-50, 50-60 ",Soin Jour Revolumisant Anti-rides,"S'applique sur le visage et le cou nettoyés en appliquant par mouvements ascendants du bas du visage vers le haut.Routine anti-rides + volume conseilléeSoin testé sous contrôle dermatologique Convient à tous les types de peaux, même sensible. Eviter le contour des yeux",3,Crème de jour,18.30,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw948ee915/ProductImages/OAP6293/3600522892472/3600522892472_2.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/revitalift-filler----acide-hyaluronique--jour/OAP6293.html#tab=conseils-d'application
Revitalift Filler [+ Acide Hyaluronique] Nuit,sèche,"40-50, 50-60 ",Soin Nuit Revolumisant Anti-rides,Appliquer la crème tous les soirs par mouvements ascendants sur le visage et le cou parfaitement nettoyés. Compléter votre routine avec les autres produits de la gamme Revitalift Filler.Eviter le contour des yeux.,4,Soin de nuit,18.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwa4c16501/ProductImages/OAP6437/3600523201525/3600523201525_4.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-de-nuit/revitalift-filler----acide-hyaluronique--nuit/OAP6437.html#tab=conseils-d'application
Revitalift Filler [+ Acide Hyaluronique] Yeux,"mixte, normale, grasse, sèche","40-50, 50-60 ",Soin Yeux Revolumisant Anti-rides,"S'utilise matin et soir. Déposer une noisette de crème à l'aide de l'embout rond dans le creux de la vallée des larmes, puis masser de l'intérieur de l'œil vers l'extérieur.Déposer une noisette de crème à l'aide de l'embout rond dans le creux de la vallée des larmes, puis masser de l'intérieur de l'œil vers l'extérieur.",5,Soin des yeux,18.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw1e14d9e4/ProductImages/OAP6436/3600523201563/3600523201563_4.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-yeux/revitalift-filler----acide-hyaluronique--yeux/OAP6436.html#tab=conseils-d'application
Revitalift Filler Gel Crème Repulpant,"grasse, sèche, mixte, normale",30-40,"Gel-Crème Jour Anti-âge, Repulpant & Hydratant, à l’Acide Hyaluronique","Matin et soir, appliquez une dose de Gel-Crème sur le visage et le cou préalablement nettoyés.",3,Crème de jour,24.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwb150818c/ProductImages/OAP7232/3600524070601/3600524070601_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/revitalift-filler-gel-creme-repulpant/OAP7232.html?wiz_medium=cpc&wiz_source=google&wiz_campaign=oap_goog_ao_othr__bran_shopping_display_cv_fr_non-prio&gad_source=1&gclid=Cj0KCQiAtaOtBhCwARIsAN_x-3LJ_8X028BM2nlF5e3UT_KTSwE9MiGZkHBWBuN3WPXP-FHqALhNldQaAuBcEALw_wcB&gclsrc=aw.ds#tab=conseils-d'application
Revitalift Filler Soin Jour Anti-Âge FPS50,"grasse, sèche, mixte, normale",20-30,Crème de Jour Anti-Âge Repulpante FPS 50,Appliquer la crème tous les jours par mouvements ascendants sur le visage et le cou parfaitement nettoyés. Éviter le contour des yeux.,3,Crème de jour,18.30,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwa677a612/ProductImages/OAP7230/3600524076948/3600524076948_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/revitalift-filler-soin-jour-anti-age-fps50/OAP7230.html#tab=conseils-d'application
Revitalift Jour,"mixte, normale, sèche","30-40, 40-50, 50-60 ",Crème de Jour Anti-Rides + Extra-fermeté,S'utilise tous les jours. Appliquer par mouvements circulaires ascendants sur le visage et le cou bien nettoyés.Routine anti-rides + extra-fermeté conseilléeAppliquer par mouvements circulaires ascendants sur le visage et le cou bien nettoyés. Routine anti-rides + extra-fermeté conseillée,3,Crème de jour,10.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw96214260/ProductImages/OAP5218/3600523082247/3600523082247_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/revitalift-jour/OAP5218.html#tab=conseils-d'application
Revitalift Laser X3 Crème de Jour Anti-Age Triple Action,sèche,"40-50, 50-60 ",Soin Jour Profond Anti-Rides,Appliquer tous les jours par mouvements ascendants sur le visage et le cou préalablement nettoyés.,3,Crème de jour,18.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw3314bb7e/ProductImages/OAP5412/3600522248996/3600522248996_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/revitalift-laser-x3-creme-de-jour-anti-age-triple-action/OAP5412.html#tab=conseils-d'application
